Title,Sale price,Merchant,Division,Category,Sub category,Artice type,Fabric,Occasion,Pattern,Image URL
CLOVIA Womens Mid Waist Printed Bikini Briefs,399,shoppersstop,clothing & accessories,lingerie & nightwear,lingerie & underwear,Lingerie & Nightwear,5,,,https://sslimages4.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/9350EF46DE5345C0B807FB677445143F/203173472_9204_9350EF46DE5345C0B807FB677445143F.jpg
Kundan Sulz Gwalior Multi Poly Viscose Unstitched Pant Pc,1399,snapdeal,clothing & accessories,unstitched fabric,unstitched fabric,Suitings & Shirtings,1,,,https://n4.sdlcdn.com/imgs/e/x/k/large/Kundan-Sulz-Gwalior-Multi-Poly-SDL479376841-1-5e3a8.jpg
Mustard Yellow Printed Kurta,1199,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,3,,printed,http://static3.jassets.com/p/ANAISA-Mustard-Yellow-Printed-Kurta-9125-756828003-1-catalog_m.jpg
Cream Printed T Shirt,599,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tees,spandex,,printed,http://static3.jassets.com/p/Splash-Cream-Printed-T-Shirt-3331-401875003-1-catalog_m.jpg
Red Solid Regular Fit Palazzo,1499,jabong,clothing & accessories,western wear,pants & capris,Trousers,viscose,,2,http://static1.jassets.com/p/Global-Desi-Red-Solid-Viscose-Palazzo-8623-883480003-1-catalog_m.jpg
Multicoloured Printed Bodycon Dress,2499,jabong,clothing & accessories,western wear,dresses,Dresses & Tunics,viscose,,printed,http://static2.jassets.com/p/Junarose-Multicoloured-Printed-Bodycon-Dress-0631-355382003-1-catalog_m.jpg
GLOBAL DESI Womens Printed Kurta,2399,shoppersstop,clothing & accessories,2 wear,kurtas,Indianwear,viscose,1,,https://sslimages1.shoppersstop.com/sys-master/images/h25/h9e/9783530881054/202216742_9212.jpg_230Wx334H
Black Printed Blouse,1799,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,viscose,,printed,http://static2.jassets.com/p/Park-Avenue-Black-Printed-Blouse-4535-7631862-1-catalog_m.jpg
Green Solid Blouse,1299,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,viscose,,2,http://static4.jassets.com/p/Texco-Green-Solid-Blouse-2869-175122003-1-catalog_m.jpg
White Solid Shirt,999,jabong,clothing & accessories,western wear,"tops, tees & shirts",Shirts,viscose,,2,http://static2.jassets.com/p/Mocking-Bird-White-Solid-Shirt-2861-884732003-1-catalog_m.jpg
White Solid T Shirt,1749,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tees,viscose,,2,http://static3.jassets.com/p/Park-Avenue-White-Solid-T-Shirt-7885-607891003-1-catalog_m.jpg
Basics Striped Men's Round Neck Red T-Shirt,999,flipkart,clothing & accessories,t-shirts & polos,t-shirts,Basics T-Shirts,viscose,,,https://rukminim1.flixcart.com/image/200/200/t-shirt/q/p/s/16bts35027-basics-xl-original-imaehujpwrgfhutm.jpeg?q=90
Black Printed Kurta,1800,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,viscose,,printed,http://static4.jassets.com/p/Faballey-Indya-Black-Printed-Kurta-4338-442272003-1-catalog_m.jpg
Siyaram Khaki Poly Viscose Unstitched Pant Pc,1600,snapdeal,,,,Suitings & Shirtings,1,,,https://n1.sdlcdn.com/imgs/i/k/1/large/Siyaram-Khaki-Poly-Viscose-Unstitched-SDL006258208-1-0d051.jpg
Off White Solid Top,909,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,2,,2,http://static1.jassets.com/p/Forever-21-Off-White-Solid-Top-3536-630826003-1-catalog_m.jpg
Blue Printed Blouse,699,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,3,,printed,http://static2.jassets.com/p/Alibi-Blue-Printed-Blouse-6343-191498003-1-catalog_m.jpg
Black Embroidered Blouse,1799,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,viscose,,embroidered,http://static3.jassets.com/p/LOOM-TREE-Black-Embroidered-Blouse-9993-2938682-1-catalog_m.jpg
IMARA Red & Black Meenakari Kurta,1299,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,3,,printed,http://static2.jassets.com/p/Imara-Red-Printed-Kurta-4450-563380003-1-catalog_m.jpg
Navy Blue Printed Maxi Dress,4730,jabong,clothing & accessories,western wear,dresses,Dresses,2,,printed,http://static4.jassets.com/p/Label-Ritu-Kumar-Navy-Blue-Printed-Maxi-Dress-8829-7345192-1-catalog_m.jpg
Green Coloured Solid Shift Dress,4590,jabong,clothing & accessories,western wear,dresses,Dresses,1,,2,http://static1.jassets.com/p/Mango-Green-Coloured-Solid-Shift-Dress-4291-764376003-1-catalog_m.jpg
Blue Solid Coloured Pant,2299,jabong,clothing & accessories,western wear,trousers,Trousers,3,,2,http://static3.jassets.com/p/AND-Blue-Solid-Jeggings-0323-043967003-1-catalog_m.jpg
Black Striped Blouse,1699,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,viscose,,striped,http://static2.jassets.com/p/Raindrops-Black-Striped-Blouse-8780-2616902-1-catalog_m.jpg
Ivory Macrame Vest,1990,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,viscose,,2,http://static3.jassets.com/p/Dorothy-Perkins-Ivory-Macrame-Vest-7440-3431122-1-catalog_m.jpg
HIMANI TRADING Orange Paisley Shawl,1199,snapdeal,,,,Shawls,viscose,,,https://n1.sdlcdn.com/imgs/g/s/j/large/HIMANI-TRADING-Orange-Paisley-Shawl-SDL779965286-1-64c5d.jpeg
Blue Washed Mid Rise Slim Fit Jeans,2899,jabong,clothing & accessories,jeans,jeans,Jeans,1,,,http://static3.jassets.com/p/Alcott-Blue-Washed-Mid-Rise-Slim-Fit-Jeans-8283-776190003-1-catalog_m.jpg
Beige Printed Kurta,1099,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,2,,printed,http://static1.jassets.com/p/HERE-NOW-Beige-Printed-Kurta-9032-789885003-1-catalog_m.jpg
RHESON Women No Rheson I Cant Tee,799,shoppersstop,clothing & accessories,western wear,"tops, tees & shirts",Westernwear,viscose,1,printed,https://sslimages2.shoppersstop.com/sys-master/images/hbd/h1d/10064165928990/201820041_9204.jpg_230Wx334H
Fleece Knit Sweatshirt,1049,forever21,clothing & accessories,sweatshirts & hoodies,sweatshirts & hoodies,,5,,,https://www.forever21.com/images/default_330/00261373-01.jpg
Lemon Solid Blouse,999,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,viscose,,2,http://static4.jassets.com/p/Code-by-Lifestyle-Lemon-Solid-Blouse-2104-6063812-1-catalog_m.jpg
Lesuzaki Viscose Shrugs,1800,snapdeal,,,,Shrugs & Waistcoats,viscose,,,https://n1.sdlcdn.com/imgs/g/i/q/large/Lesuzaki-Viscose-Shrugs-SDL997412727-1-7c5cb.jpg
Coral Printed Kurta & Kurtis,1399,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,2,,printed,http://static1.jassets.com/p/Moda-Rapido-Coral-Printed-Kurta---Kurtis-0348-269468003-1-catalog_m.jpg
Off White Printed Blouse,1295,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,2,,printed,http://static4.jassets.com/p/Opt-Off-White-Printed-Blouse-1812-940224003-1-catalog_m.jpg
Maroon Printed Sleepdress,1699,jabong,clothing & accessories,lingerie & nightwear,nightwear,Sleepwear,2,,printed,http://static1.jassets.com/p/The-Kaftan-Company-Maroon-Printed-Sleepdress-1226-875262003-1-catalog_m.jpg
Blue Printed Kurta,1499,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,viscose,,printed,http://static1.jassets.com/p/Avaana-Blue-Printed-Kurta-8417-235721003-1-catalog_m.jpg
Purple Solid Blouse,795,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,spandex,,2,http://static4.jassets.com/p/Chumbak-Purple-Solid-Blouse-6699-8830292-1-catalog_m.jpg
Multicoloured Printed Cold-Shoulder Top,1999,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,3,,printed,http://static3.jassets.com/p/Only-Multicoloured-Printed-Cold-Shoulder-Top-0801-625700103-1-catalog_m.jpg
MissGudi Viscose White T-Shirts,670,snapdeal,,,,Tees & Polo,viscose,,,https://n1.sdlcdn.com/imgs/g/9/0/large/MissGudi-Viscose-White-T-Shirts-SDL915749313-1-79202.jpg
Black Printed Top,1399,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,2,,printed,http://static4.jassets.com/p/Global-Desi-Black-Printed-Top-6385-880726003-1-catalog_m.jpg
White Printed A-Line Kurta,1299,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,3,,printed,http://static2.jassets.com/p/Melange-by-Lifestyle-White-Printed-Kurta-3936-780647003-1-catalog_m.jpg
Babyoye Sleeveless Jumpsuits Floral Print - Multi Colour,899,firstcry,clothing & accessories,western wear,jumpsuits & playsuits,Jumpsuits,3,,,http://cdn.firstcry.com/brainbees/images/products/219x265/1907543a.jpg
Chimera Viscose Shrugs,599,snapdeal,clothing & accessories,western wear,sweaters,Shrugs & Waistcoats,viscose,1,,http://n1.sdlcdn.com/imgs/d/5/l/230x258/Chimera-Viscose-Shrugs-SDL764181013-1-9cc0f.jpg
Cottinfab Viscose Gown,2999,snapdeal,,,,Gowns,viscose,,,https://n3.sdlcdn.com/imgs/d/p/v/large/Cottinfab-Viscose-Gown-SDL574771055-1-91cd4.jpg
Henley Neck 3/4Th Sleeves Printed Kurta,999,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,viscose,,printed,http://static2.jassets.com/p/Sangria-Henley-Neck-3-4Th-Sleeves-Printed-Kurta-5022-9975922-1-catalog_m.jpg
GLOBAL DESI Womens Round Neck Printed Romper,2299,shoppersstop,clothing & accessories,western wear,dresses,Westernwear,viscose,1,printed,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/273B274D4F3E415EA3A261180C6D98C3/203680344_9212_273B274D4F3E415EA3A261180C6D98C3.jpg
Huetrap Solid Women's V-neck Blue T-Shirt,499,flipkart,clothing & accessories,t-shirts & polos,t-shirts,"Shirts, Tops & Tunics",viscose,,,https://rukminim1.flixcart.com/image/200/200/j9n3ekw0/t-shirt/h/6/u/xxl-ht12wkslttqb00302-huetrap-original-imaeze4zfkyxzf54.jpeg?q=90
Yellow Printed T-Shirt,599,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tees,2,,printed,http://static2.jassets.com/p/Splash-Yellow-Printed-T-Shirt-5485-210006003-1-catalog_m.jpg
Off White Striped Blouse,2200,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,viscose,,striped,http://static2.jassets.com/p/Forever-New-Off-White-Striped-Blouse-2771-2090392-1-catalog_m.jpg
Black Printed Sweater,2595,jabong,clothing & accessories,western wear,sweaters,Sweaters,1,,printed,http://static3.jassets.com/p/Van-Heusen-Black-Printed-Sweater-8170-704940003-1-catalog_m.jpg
Womens Embellished Round Neck Top,1350,shoppersstop,clothing & accessories,western wear,"shirts, tops & tees","Kurtas, Tops & Jackets",viscose,1,embellished,https://sslimages4.shoppersstop.com/sys-master/images/h3b/h53/9688835260446/201845706_9463.jpg_230Wx334H
Black Coloured Printed Shift Dress,1999,jabong,clothing & accessories,western wear,dresses,Dresses,viscose,,printed,http://static1.jassets.com/p/Only-Black-Coloured-Printed-Shift-Dress-6777-172102003-1-catalog_m.jpg
Multicoloured Printed Kurta,1399,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,2,,printed,http://static1.jassets.com/p/Imara-Multicoloured-Printed-Kurta-0634-907380003-1-catalog_m.jpg
Navy Blue Solid Round Neck T-shirt,899,jabong,clothing & accessories,t-shirts & polos,t-shirts,Tees,3,,2,http://static1.jassets.com/p/Dressberry-Navy-Blue-Solid-Round-Neck-T-shirt-1412-400489003-1-catalog_m.jpg
Blue Printed Regular Fit Palazzos,1799,jabong,clothing & accessories,western wear,trousers,Trousers,2,,printed,http://static3.jassets.com/p/Global-Desi-Global-Desi-Women-Blue-Printed-Regular-Fit-Palazzos-9352-709594003-1-catalog_m.jpg
109 F Viscose Tunics - Orange,1999,snapdeal,,,,Tops & Tunics,viscose,,,https://n4.sdlcdn.com/imgs/h/h/5/large/109-F-Viscose-Tunics-Orange-SDL515115952-1-82caa.jpg
Pilot London Viscose Bodycon Dress,999,snapdeal,clothing & accessories,western wear,dresses,Dresses,viscose,,,http://n1.sdlcdn.com/imgs/f/r/i/230x258/Pilot-London-Viscose-Bodycon-Dress-SDL565120854-1-6af23.jpg
Multicoloured Printed Tunic,1049,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tunics,viscose,,printed,http://static1.jassets.com/p/IDK-Multicoloured-Printed-Tunic-4073-522668003-1-catalog_m.jpg
Black Printed Top,899,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,2,,printed,http://static1.jassets.com/p/Ginger-By-Lifestyle-Black-Printed-Top-8770-272746003-1-catalog_m.jpg
United Colors of Benetton Viscose Regular Tops,1199,snapdeal,,,,Tops & Tunics,viscose,,,https://n3.sdlcdn.com/imgs/d/j/i/large/United-Colors-of-Benetton-Viscose-SDL079576493-1-987be.jpg
Off White Printed Blouse,699,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,viscose,,printed,http://static2.jassets.com/p/People-Off-White-Printed-Blouse-9801-699391003-1-catalog_m.jpg
RANGRITI Womens Round Neck Printed Kurta,1499,shoppersstop,clothing & accessories,2 wear,kurtas,Indianwear,viscose,1,,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/EF9F5B3CF2D9455AB6585E59E0E0D14E/203849663_9212_EF9F5B3CF2D9455AB6585E59E0E0D14E.jpg
Blue Printed Blouse,999,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,viscose,,printed,http://static1.jassets.com/p/Izabel-London-by-Pantaloons-Blue-Printed-Blouse-6614-9194962-1-catalog_m.jpg
Black Viscose Tussar Dobby Full Sleeves Long Kurta,2290,fabindia,,,,Kurtas,viscose,,2,https://www.fabindia.com/ccstore/v1/images/?source=/file/v4929480423583181436/products/10507107BK.10507107.f.230518.jpg
Black Casual Dress,1299,jabong,clothing & accessories,western wear,dresses,Dresses & Skirts,3,,,http://static3.jassets.com/p/Lil-Orchids-Black-Casual-Dress-4811-414961003-1-catalog_m.jpg
Orange Coloured Solid Maxi Dress,2999,jabong,clothing & accessories,western wear,dresses,Dresses,viscose,,2,http://static4.jassets.com/p/Skidlers-Orange-Coloured-Solid-Maxi-Dress-0276-337475003-1-catalog_m.jpg
Navy Solid Maxi Dress,999,jabong,clothing & accessories,western wear,dresses,Dresses,2,,2,http://static2.jassets.com/p/Ether-Navy-Solid-Maxi-Dress-2814-894594003-1-catalog_m.jpg
Maroon Printed T-shirt,1099,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tees,viscose,,,http://static1.jassets.com/p/Alcott-Maroon-Printed-T-shirt-6260-820217003-1-catalog_m.jpg
"Raymond Multi Poly Viscose Unstitched Shirts & Trousers 1 Shirt Fabric,1 Trouser Fabric",1499,snapdeal,,,,Suitings & Shirtings,1,,,https://n2.sdlcdn.com/imgs/h/q/p/large/Raymond-Multi-Poly-Viscose-Unstitched-SDL103186630-1-2e17e.jpeg
Black Printed Viscose Kurta,1899,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,viscose,,printed,http://static3.jassets.com/p/W-Black-Printed-Viscose-Kurta-5360-4817353-1-catalog_m.jpg
Maroon Printed Kurta,1599,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,3,,printed,http://static4.jassets.com/p/Anouk-Maroon-Printed-Kurta-7499-462490003-1-catalog_m.jpg
Comix Viscose Tank Tops,625,snapdeal,clothing & accessories,western wear,"shirts, tops & tees",Tops & Tunics,viscose,1,,http://n1.sdlcdn.com/imgs/e/9/3/230x258/Comix-Viscose-Tank-Tops-SDL386658871-1-0a7f3.jpg
Beige Solid Shrug,1499,jabong,clothing & accessories,western wear,sweaters,Shrugs,2,,2,http://static1.jassets.com/p/Chemistry-Beige-Solid-Shrug-5856-309996003-1-catalog_m.jpg
De Moza Viscose Single Leggings,649,snapdeal,,,,Salwars & Leggings,viscose,,,https://n1.sdlcdn.com/imgs/e/d/r/large/De-Moza-Viscose-Single-Leggings-SDL775824819-1-d73da.jpg
Plus Creations Red Viscose Straight Kurti,1348,snapdeal,,,,Stitched Kurtis,viscose,,,https://n4.sdlcdn.com/imgs/h/k/j/large/Plus-Creations-Red-Viscose-Straight-SDL592143927-1-50dd0.jpeg
Mustard Yellow Printed Blouse,799,jabong,clothing & accessories,2 wear,kurtas,Tops,3,,printed,http://static4.jassets.com/p/Rangriti-Yellow-Printed-Blouse-5317-847947003-1-catalog_m.jpg
Raymond Multi Poly Viscose Unstitched Shirts & Trousers 1,897,snapdeal,,,,Suitings & Shirtings,1,,,https://n2.sdlcdn.com/imgs/h/k/m/large/Raymond-Multi-Poly-Viscose-Unstitched-SDL710011579-1-1805a.jpg
Orange Printed Kurta Skirt Set,3999,jabong,clothing & accessories,2 wear,salwar suit sets,Suit Sets,viscose,,printed,http://static3.jassets.com/p/Varanga-Orange-Printed-Kurta-Skirt-Set-2277-421112003-1-catalog_m.jpg
Viscose Silk Stripe Short Top,1690,fabindia,,,,Tops & Shirts,silk,,striped,https://www.fabindia.com/ccstore/v1/images/?source=/file/v3163368527480035214/products/10580358GY.f.090119.jpg
109F Womens Solid Casual Top,1499,shoppersstop,clothing & accessories,western wear,"tops, tees & shirts",Westernwear,viscose,1,2,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/66D09E3FC19148018F8DD457727CB618/202973692_9212_66D09E3FC19148018F8DD457727CB618.jpg
White Coloured Printed Maxi Dress,4495,jabong,clothing & accessories,western wear,dresses,Dresses,viscose,,printed,http://static2.jassets.com/p/Vero-Moda-Marquee-By-Kangana-Ranaut-White-Coloured-Printed-Maxi-Dress-9561-8589212-1-catalog_m.jpg
Oxolloxo Viscose Tunics - Peach,1399,snapdeal,,,,Tops & Tunics,viscose,,,https://n2.sdlcdn.com/imgs/h/u/x/large/Oxolloxo-Viscose-Tunics-Peach-SDL741124937-1-d215c.jpg
Black Printed Shift Dress,3499,jabong,clothing & accessories,western wear,dresses,Dresses,2,,printed,http://static3.jassets.com/p/Park-Avenue-Black-Printed-Shift-Dress-6105-337861003-1-catalog_m.jpg
Beige Printed Kurta Salwar Set,2299,jabong,clothing & accessories,2 wear,salwar suit sets,Suit Sets,viscose,,printed,http://static1.jassets.com/p/9rasa-Beige-Printed-Kurta-Salwar-Set-9142-074707003-1-catalog_m.jpg
Blue Embroidered Blouse,1799,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,3,,self design,http://static2.jassets.com/p/All-About-You-Blue-Embroidered-Blouse-4390-809980003-1-catalog_m.jpg
Multicoloured Printed Shift Dress,1299,jabong,clothing & accessories,western wear,dresses,Dresses,3,,printed,http://static2.jassets.com/p/Imara-Multicoloured-Printed-Shift-Dress-6792-943640003-1-catalog_m.jpg
Grey Melange Textured Blouse,3200,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,viscose,,textured,http://static4.jassets.com/p/Forever-New-Grey-Melange-Textured-Blouse-2604-531513003-1-catalog_m.jpg
Grey Printed T Shirt,1295,jabong,clothing & accessories,t-shirts & polos,t-shirts,Tees,5,,printed,http://static4.jassets.com/p/Only-Grey-Printed-T-Shirt-0338-1998372-1-catalog_m.jpg
Orange Tussar Viscose Front Stitched Fitted Long Kurta,2790,fabindia,,,,Long Kurtas,viscose,,2,https://www.fabindia.com/ccstore/v1/images/?source=/file/v8310733736328306393/products/10465967OG.10465967.f.030417.jpg
Wrap-Around Maxi Tunic - Floral,1600,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,viscose,,printed,http://static2.jassets.com/p/Faballey-Indya-Blue-Printed-Kurta-8065-8500492-1-catalog_m.jpg
Blue Coloured Printed Shift Dress,1599,jabong,clothing & accessories,western wear,dresses,Dresses,3,,printed,http://static2.jassets.com/p/Global-Desi-Blue-Coloured-Printed-Shift-Dress-5229-031678003-1-catalog_m.jpg
Wine Coloured Textured Shift Dress,1699,jabong,clothing & accessories,western wear,dresses,Dresses,2,,textured,http://static1.jassets.com/p/Forever-21-Wine-Coloured-Textured-Shift-Dress-7395-063945003-1-catalog_m.jpg
Blue Printed Blouse,599,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,viscose,,printed,http://static4.jassets.com/p/People-Blue-Printed-Blouse-2884-210436003-1-catalog_m.jpg
Blue Printed Kurta,1099,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,viscose,,printed,http://static1.jassets.com/p/Evam-Blue-Printed-Kurta-9927-567181003-1-catalog_m.jpg
Navy Blue Printed Short,630,jabong,clothing & accessories,lingerie & nightwear,nightwear,Loungewear,viscose,,printed,http://static2.jassets.com/p/Heart-2-Heart-Navy-Blue-Printed-Short-5883-649524003-1-catalog_m.jpg
Lace Pyjama Set,3350,jabong,clothing & accessories,lingerie & nightwear,nightwear,Loungewear,spandex,,2,http://static1.jassets.com/p/Next-Lace-Pyjama-Set-8344-811742003-1-catalog_m.jpg
RANGRITI Womens Round Neck Printed Straight Fit Kurta,1199,shoppersstop,clothing & accessories,2 wear,kurtas,Indianwear,viscose,1,,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/F81FA40574EC48388CFDF7A5EF026600/203820356_9424_F81FA40574EC48388CFDF7A5EF026600.jpg
Womens Regular Fit Solid Tunic,1299,shoppersstop,clothing & accessories,western wear,"shirts, tops & tees",Tops & Tees,3,1,2,https://sslimages5.shoppersstop.com/sys-master/images/h4d/h00/9439761825822/201543967_9308.jpg_230Wx334H
Grey Solid Blouse,1699,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,viscose,,2,http://static4.jassets.com/p/Marie-Claire-Grey-Solid-Blouse-8839-7231282-1-catalog_m.jpg
Tussar Viscose Full Sleeves Long Kurta,3490,fabindia,clothing & accessories,2 wear,kurtas,Long Kurtas,viscose,,2,https://images-cdn.azureedge.net/azure/in-resources/bd5c1517-8d80-48d7-8e8e-365433ad124f/Images/ProductImages/Source/10488172-f-140817.jpg;width=285;height=362;scale=canvas;anchor=bottomcenter
PURYS Womens Solid Knee Length Skirt,1499,shoppersstop,clothing & accessories,western wear,skirts,Westernwear,viscose,1,,https://sslimages4.shoppersstop.com/sys-master/images/h85/h36/9946795573278/202489526_9612.jpg_230Wx334H
Peach Striped Shirt,2870,jabong,clothing & accessories,shirts,1 shirts,Shirts,2,,striped,http://static1.jassets.com/p/Next-Peach-Striped-Shirt-7068-930907003-1-catalog_m.jpg
Navy Blue Printed Shirt,1299,jabong,clothing & accessories,t-shirts & polos,t-shirts,Shirts,3,,printed,http://static3.jassets.com/p/Opt-Navy-Blue-Printed-Shirt-7789-641213003-1-catalog_m.jpg
Multicoloured Printed Kurta,1299,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,viscose,,printed,http://static3.jassets.com/p/Aurelia-Multicoloured-Printed-Kurta-2770-022755003-1-catalog_m.jpg
Blue Solid Blouse,1499,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,viscose,,2,http://static3.jassets.com/p/Only-Blue-Solid-Blouse-0869-236270003-1-catalog_m.jpg
White Coloured Solid Bodycon Dress,1490,jabong,clothing & accessories,western wear,dresses,Dresses,viscose,,2,http://static1.jassets.com/p/Femella-White-Coloured-Solid-Bodycon-Dress-3792-409472003-1-catalog_m.jpg
Brown Solid Regular Fit Chinos,1995,jabong,clothing & accessories,trousers,casuals,Trousers,1,,2,http://static3.jassets.com/p/Van-Heusen-Brown-Solid-Regular-Fit-Chinos-6621-090962003-1-catalog_m.jpg
Fuchsia Solid Flared Fit Palazzo,1499,jabong,clothing & accessories,western wear,pants & capris,Trousers,viscose,,2,http://static2.jassets.com/p/Global-Desi-Fucshia-Solid-Viscose-Palazzo-5685-932510003-1-catalog_m.jpg
White Solid Blouse,999,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,spandex,,2,http://static3.jassets.com/p/Harpa-White-Solid-Blouse-8537-0363182-1-catalog_m.jpg
Black Printed T Shirt,990,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tees,viscose,,printed,http://static3.jassets.com/p/Silly-People-Black-Printed-T-Shirt-2040-530661003-1-catalog_m.jpg
ONLY Womens Round Neck Embroidered Top,1799,shoppersstop,clothing & accessories,western wear,"tops, tees & shirts",Westernwear,viscose,1,embroidered,https://sslimages.shoppersstop.com/B8AC9759D45547D9AEF177F0DE13B7C8/img/80AEA0BF27DA426BAB7BBD3164E21F89/203851033_8394_80AEA0BF27DA426BAB7BBD3164E21F89.jpg
Being Fab Men's Solid Casual Brown Shirt,2690,flipkart,clothing & accessories,shirts,1 shirts,Casual & Party Wear Shirts,viscose,,,https://rukminim1.flixcart.com/image/200/200/j2m6gsw0/shirt/j/n/y/40-bfshtcnt605lbrn-being-fab-original-imaetwg5h3zbyzeg.jpeg?q=90
Maroon Printed Palazzo Kurta Set,2699,jabong,clothing & accessories,2 wear,salwar suit sets,Suit Sets,viscose,,printed,http://static1.jassets.com/p/9rasa-Maroon-Printed-Palazzo-Kurta-Set-8724-382528003-1-catalog_m.jpg
Elle Viscose Black Regular,2199,snapdeal,,,,Dresses,viscose,,,https://n1.sdlcdn.com/imgs/g/x/c/large/Elle-Viscose-Black-Regular-SDL414418215-1-e32ac.jpeg
Blue Printed Capri,749,jabong,clothing & accessories,lingerie & nightwear,nightwear,Loungewear,3,,printed,http://static1.jassets.com/p/Sweet-Dreams-Blue-Printed-Capri-7709-395061003-1-catalog_m.jpg
White Printed Kurta,2399,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,3,,,http://static3.jassets.com/p/Varanga-Off-White-Printed-Kurta-6015-147688003-1-catalog_m.jpg
Black Solid Flared Skirt,2649,jabong,clothing & accessories,western wear,skirts,"Capris, Shorts & Skirts",viscose,,2,http://static3.jassets.com/p/Tom-Tailor-Black-Solid-Flared-Skirt-7894-606381003-1-catalog_m.jpg
Comix Viscose Regular Tops,1099,snapdeal,clothing & accessories,western wear,"shirts, tops & tees",Tops & Tunics,viscose,3,,http://n1.sdlcdn.com/imgs/e/o/a/230x258/Comix-Viscose-Regular-Tops-SDL835426078-1-8b8f1.jpg
Beige Printed Kurta,1999,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,3,,,http://static1.jassets.com/p/W-Beige-Printed-Kurta-8819-347240103-1-catalog_m.jpg
Red Solid Pyjama Set,1799,jabong,clothing & accessories,lingerie & nightwear,nightwear,Loungewear,spandex,,2,http://static1.jassets.com/p/PrettySecrets-Red-Solid-Pyjama-Set-8647-016721003-1-catalog_m.jpg
Pink Sparkle Cardigan,1010,jabong,clothing & accessories,western wear,sweaters,Winter Wear,2,,2,http://static3.jassets.com/p/Next-Pink-Sparkle-Cardigan-4389-375456003-1-catalog_m.jpg
Off White Embroidered Kurta,2599,jabong,clothing & accessories,2 wear,kurtas,Kurtas & Kurtis,2,,embroidered,http://static3.jassets.com/p/Global-Desi-Off-White-Embroidered-Kurta-2304-202535003-1-catalog_m.jpg
Brown Printed Blouse,1995,jabong,clothing & accessories,western wear,"shirts, tops & tees",Tops,viscose,,printed,http://static4.jassets.com/p/Only-Brown-Printed-Blouse-2025-6030402-1-catalog_m.jpg
Melisa Viscose Bikini,1783,snapdeal,clothing & accessories,swim,cover-ups & sarongs,"Beach Dresses, Sarongs & More",viscose,1,,http://n1.sdlcdn.com/imgs/b/3/k/230x258/Melisa-Blue-Viscose-Bikini-SDL236663229-1-f6155.jpg
