Title,Sale price,Merchant,Division,Category,Sub category,Artice type,Fabric,Occasion,Pattern,Image URL
Burgundy Slim Fit Printed Casual Shirt,2099,jabong,clothing & accessories,shirts,1 shirts,Casual Shirts,,,3 print,http://static2.jassets.com/p/Wrogn-Burgundy-Slim-Fit-Printed-Casual-Shirt-4905-277630103-1-catalog_m.jpg
Red Printed Sweater,1899,jabong,clothing & accessories,western wear,sweaters,Sweaters,5,,3 print,http://static2.jassets.com/p/Mast---Harbour-Red-Printed-Sweater-2926-914220003-1-catalog_m.jpg
Rust Brown & Beige Layered Printed Maxi Dress,1799,jabong,clothing & accessories,western wear,dresses,Dresses,3,,3 print,http://static2.jassets.com/p/Shree-Rust-Brown---Beige-Layered-Printed-Maxi-Dress-8761-722389003-1-catalog_m.jpg
INVICTUS Men Green Slim Fit Self Design Smart Casual Shirt,2399,jabong,clothing & accessories,shirts,1 shirts,Formal Shirts,5,,3 print,http://static1.jassets.com/p/Invictus-Green-Self-Pattern-Casual-Shirt-6721-221218003-1-catalog_m.jpg
White Printed Top,1399,jabong,clothing & accessories,western wear,"tops, tees & shirts",Tops,1,,3 print,http://static2.jassets.com/p/Madame-Off-White-Printed-Blouse-3226-335647003-1-catalog_m.jpg
"SGM Paisley, Geometric Print, Digital Prints, Printed Fashion Art Silk Saree(Pink)",2999,flipkart,clothing & accessories,2 wear,sarees,Sarees,,,3 print,https://rukminim1.flixcart.com/image/200/200/j5vcknk0-1/sari/k/5/b/free-pas1425-a-sgm-original-imaewgyaxrhnskzy.jpeg?q=90
Green Camo Knitted Crew,1610,jabong,clothing & accessories,sportswear,track pants,Winter Wear,5,,3 print,http://static2.jassets.com/p/Next-Green-Camo-Knitted-Crew-7978-879565003-1-catalog_m.jpg
Converse Men Blue Printed Regular Fit Regular Shorts,1299,jabong,clothing & accessories,shorts,shorts,Shorts & 3/4ths,5,,3 print,http://static1.jassets.com/p/Converse-Blue-Printed-Shorts-6856-969226003-1-catalog_m.jpg
Blue Printed Polo Collar T-Shirt,1999,jabong,clothing & accessories,t-shirts & polos,polos,Polos & Tees,5,,3 print,http://static2.jassets.com/p/U-S--Polo-Assn--Denim-Co--Blue-Printed-Polo-Collar-T-Shirt-5495-426220103-1-catalog_m.jpg
Navy Blue Printed Round Neck T-shirt,1199,jabong,clothing & accessories,t-shirts & polos,t-shirts,Polos & Tees,5,,3 print,http://static2.jassets.com/p/Lee-Navy-Blue-Solid-Slim-Fit-Round-Neck-T-Shirt-3123-519378003-1-catalog_m.jpg
Mayra Multicolor Top For women,895,paytm,clothing & accessories,western wear,"shirts, tops & tees",Tops & Tunics,,1,3 print,https://assetscdn.paytm.com/images/catalog/product/A/AP/APPTOPGAUR3044322AC655/1.jpg
